MONTH,HOUR,WEEKDAY,SEASON,TEMPERATURE,RAINFALL,WINDSPEED,HUMLDITY,SNOWFALL,RENTCOUNT
1,11,1,3,-2.8,0.0,1.1,68.0,11.7,0.0
1,12,1,3,-0.5,0.0,1.1,59.0,11.6,0.0
1,13,1,3,1.1,0.0,1.2,58.0,11.5,2.0
1,14,1,3,1.5,0.0,2.2,49.0,11.4,0.0
1,15,1,3,1.7,0.0,1.9,47.0,11.3,0.0
1,16,1,3,1.4,0.0,1.3,47.0,11.3,0.0
1,17,1,3,-0.1,0.0,2.9,45.0,11.3,0.0
1,18,1,3,-1.7,0.0,2.1,48.0,11.3,0.0
1,19,1,3,-2.9,0.0,0.9,55.0,11.3,0.0
1,20,1,3,-3.2,0.0,0.7,58.0,11.3,0.0
1,21,1,3,-3.9,0.0,1.0,59.0,11.3,0.0
1,22,1,3,-4.6,0.0,1.7,62.0,11.3,0.0
1,23,1,3,-5.1,0.0,1.2,63.0,11.3,0.0
1,0,2,3,-5.3,0.0,0.8,65.0,11.3,0.0
1,1,2,3,-5.2,0.0,0.9,68.0,11.3,0.0
1,2,2,3,-5.7,0.0,0.8,69.0,11.3,0.0
1,3,2,3,-6.3,0.0,1.5,71.0,11.3,0.0
1,4,2,3,-6.3,0.0,1.5,69.0,11.3,0.0
1,5,2,3,-6.9,0.0,1.7,73.0,11.3,0.0
1,6,2,3,-7.2,0.0,1.4,78.0,11.3,0.0
1,7,2,3,-7.4,0.0,1.4,73.0,11.3,0.0
1,8,2,3,-8.6,0.0,0.9,75.0,11.3,0.0
1,9,2,3,-7.1,0.0,0.5,67.0,11.3,0.0
1,10,2,3,-5.7,0.0,1.2,62.0,11.3,0.0
1,11,2,3,-4.4,0.0,4.4,54.0,11.3,0.0
1,12,2,3,-3.5,0.0,3.6,46.0,11.2,0.0
1,13,2,3,-2.3,0.0,3.7,41.0,11.2,0.0
1,14,2,3,-2.2,0.0,4.1,40.0,11.2,0.0
1,15,2,3,-2.4,0.0,4.2,41.0,11.2,0.0
1,16,2,3,-2.7,0.0,3.5,40.0,11.2,0.0
1,17,2,3,-4.4,0.0,2.4,40.0,11.2,0.0
1,18,2,3,-5.8,0.0,2.3,44.0,11.2,0.0
1,19,2,3,-7.0,0.0,1.3,47.0,11.2,0.0
1,20,2,3,-7.6,0.0,1.9,50.0,11.2,0.0
1,21,2,3,-8.4,0.0,1.4,58.0,11.2,0.0
1,22,2,3,-9.1,0.0,1.0,61.0,11.2,0.0
1,23,2,3,-9.2,0.0,0.7,64.0,11.2,0.0
1,0,3,3,-9.6,0.0,0.6,71.0,11.2,0.0
1,1,3,3,-10.4,0.0,0.7,73.0,11.2,0.0
1,2,3,3,-11.1,0.0,0.8,77.0,11.2,0.0
1,3,3,3,-11.7,0.0,0.5,80.0,11.2,0.0
1,4,3,3,-12.0,0.0,1.1,83.0,11.2,0.0
1,5,3,3,-12.5,0.0,1.4,85.0,11.2,0.0
1,6,3,3,-12.8,0.0,1.4,84.0,11.2,0.0
1,7,3,3,-13.5,0.0,0.4,75.0,11.2,0.0
1,8,3,3,-13.7,0.0,0.2,71.0,11.2,0.0
1,9,3,3,-10.5,0.0,0.8,59.0,11.2,1.0
1,10,3,3,-7.7,0.0,1.8,39.0,11.2,0.0
1,11,3,3,-5.9,0.0,1.2,32.0,11.2,0.0
1,12,3,3,-4.3,0.0,1.1,31.0,11.2,0.0
1,13,3,3,-3.8,0.0,1.4,30.0,11.2,0.0
