번호,키오스크번호,구별,명칭,위치,주소,거치대,좌표
122,122,대덕구,한남대후문 입구,,대덕구 중리동 231-5,13,"36.359669,127.431911"
123,123,대덕구,대덕경찰서앞,,대덕구 문평동 83-2번지,12,"36.44694,127.406398"
124,124,대덕구,목상동주민센터앞,,대덕구 목상동 185-1번지,12,"36.448472,127.412412"
125,125,대덕구,엑슬루타워 앞,,대덕구 석봉동 336번지,10,"36.449253,127.420131"
126,126,대덕구,신탄진 주민센터옆,,대덕구 신탄진동 120-1번지,10,"36.451985,127.42887"
127,127,대덕구,신탄진역 앞,,대덕구 신탄진동 147-6번지,13,"36.448623,127.429218"
128,128,대덕구,과선교버스정류장,,대덕구 평촌동 264-64번지,13,"36.443126,127.429411"
129,129,대덕구,신탄진고 4가,,대덕구 신탄진동 149-6번지,12,"36.448472,127.435817"
130,130,대덕구,용정초등학교앞,,대덕구 신탄진동 52-1번지,13,"36.45389,127.436737"
131,131,대덕구,에코공원앞,,대덕구 신탄진동 산1-7번지,12,"36.448772,127.444365"
132,132,대덕구,삼정3가,,대덕구 삼정동 산27-4번지,13,"36.444265,127.434191"
133,133,중구,오룡역7번출구,,중구 오류동 113-1번지,13,"36.322562,127.411996"
134,134,중구,중도일보사 앞,,중구 오류동 175-3번지,10,"36.326058,127.407828"
135,135,중구,서대전역네거리(삼성디지털 프라자),,중구 오류동 168-7번지,13,"36.320277,127.405811"
136,136,중구,중구청역4번출구(중구청의회),,중구 대흥동 499-1번지,12,"36.32549,127.420018"
137,137,중구,센트럴파크 302동 앞,,중구 문화동 1-256번지,13,"36.31838,127.411655"
138,138,중구,센트럴파크 105동 앞,,중구 문화동 284-168번지,13,"36.316476,127.407345"
139,139,중구,서대전지하철3번출구(대순진리회),,중구 오류동 152-5번지,13,"36.3223,127.411634"
140,140,중구,대전시민대학 정문,,중구 선화동 287-2번지,16,"36.326784,127.419699"
141,141,중구,대전 세무서앞,,중구 선화동 184-1번지,13,"36.330883,127.419077"
142,142,중구,참좋은APT 가자주류대전,,중구 선화동 83-1번지,13,"36.331845,127.422864"
143,143,중구,중앙로역3번출구(궁죽본점앞),,중구 대흥동 198-1번지,13,"36.328029,127.426174"
144,144,유성구,타슈 관제센터,,유성구 원촌동 76-1,11,"36.389376,127.409729"
